Code,Genus,Species,Voucher,Country,Herbarium,ITS,ITSname,rps16,rps16names,ndhF,ndhFnames
SC060,Scleria,ciliaris, Wilson K.L. 8231, Australia,GENT,LN886824,Scleria_ciliaris_LN886824_Australia,LN887053,Scleria_ciliaris_LN887053_Australia,LN886935,Scleria_ciliaris_LN886935_Australia
SC189,Scleria,ciliata, Bauters K. & Coenen J. 2013-042, U.S.A.,GENT,,,LN887108,Scleria_ciliata_LN887108_USA,LN886993,Scleria_ciliata_LN886993_USA
SC063b,Scleria,comosa, Haase R. 753, Bolivia,GENT,LN886826,Scleria_comosa_LN886826_Bolivia,LN887054,Scleria_comosa_LN887054_Bolivia,LN886937,Scleria_comosa_LN886937_Bolivia
SC052,Scleria,composita,Beck St. G. 13175,Bolivia,GENT,,,MG708773,Scleria_composita_MG708773_Bolivia,MG708659,Scleria_composita_MG708659_Bolivia
SC293,Scleria,composita,Beck St. G. 13175,Bolivia,GENT,MG708557,Scleria_composita_MG708557_Bolivia,MG708796,Scleria_composita_MG708796_Bolivia,MG708685,Scleria_composita_MG708685_Bolivia
SC309,Scleria,composita,Troels Myndel Pedersen 4510,Argentinia,BR,MG708569,Scleria_composita_MG708569_Argentina,MG708808,Scleria_composita_MG708808_Argentina,MG708698,Scleria_composita_MG708698_Argentina
SC096,Scleria,corymbosa, Bart De Wilde & al. 02-199, Thailand,TCD,LN886836,Scleria_corymbosa_LN886836_Thailand,LN887064,Scleria_corymbosa_LN887064_Thailand,LN886947,Scleria_corymbosa_LN886947_Thailand
SC457,Scleria,cuyabensis,Zardini 48117,Paraguay,GENT,,,MG708866,Scleria_cuyabensis_MG708866_Paraguay,,
SC127,Scleria,cyperina, Beck St. G. 133, Brazil,GENT,LN886853,Scleria_cyperina_LN886853_Brazil,LN887080,Scleria_cyperina_LN887080_Brazil,LN886965,Scleria_cyperina_LN886965_Brazil
SC288,Scleria,delicatula,Robinson 4555,Zambia,NY,MG708553,Scleria_delicatula_MG708553_Zambia,MG708792,Scleria_delicatula_MG708792_Zambia,MG708681,Scleria_delicatula_MG708681_Zambia
SC214,Scleria,depauperata, Raynal J. & Jaffr‚ T. 16510, New Caledonia,MO,LN886888,Scleria_depauperata_LN886888_New_Caledonia,LN887117,Scleria_depauperata_LN887117_New_Caledonia,LN887004,Scleria_depauperata_LN887004_New_Caledonia
SC054,Scleria,depressa, Goetghebeur P. 12128, Cameroon,GENT,LN886821,Scleria_depressa_LN886821_Cameroon,LN887050,Scleria_depressa_LN887050_Cameroon,LN886932,Scleria_depressa_LN886932_Cameroon
SC036,Scleria,distans,Reekmans M. 10474,Burundi,GENT,MG708527,Scleria_distans_MG708527_Burundi,,,,
SC037,Scleria,distans,Reekmans M. 7239,Burundi,GENT,MG708528,Scleria_distans_MG708528_Burundi,MG708767,Scleria_distans_MG708767_Burundi,MG708653,Scleria_distans_MG708653_Burundi
SC039,Scleria,distans,Gonto R. & Fernandez A. 147,Venezuela,GENT,MG708529,Scleria_distans_MG708529_Venezuela,,,,
SC177,Scleria,distans,Bauters K. & Coenen J. 2013-007,USA,GENT,LN886877,Scleria_distans_LN886877_USA,LN887104,Scleria_distans_LN887104_USA,LN886989,Scleria_distans_LN886989_USA
SC178,Scleria,distans,Bauters K. & Coenen J. 2013-008,USA,GENT,MG708542,Scleria_distans_MG708542_USA,MG708781,Scleria_distans_MG708781_USA,MG708668,Scleria_distans_MG708668_USA
SC253,Scleria,distans,Bauters K. & Coenen J. 2013-009,USA,GENT,MG708545,Scleria_distans_MG708545_USA,MG708786,Scleria_distans_MG708786_USA,MG708673,Scleria_distans_MG708673_USA
SC028,Scleria,distans_var._chondrocarpa,Desfayes M. 95.17115,Madagascar,GENT,MG708521,Scleria_distans_var_chondrocarpa_MG708521_Madagascar,MG708763,Scleria_distans_var_chondrocarpa_MG708763_Madagascar,MG708649,Scleria_distans_var_chondrocarpa_MG708649_Madagascar
SC031,Scleria,distans_var._chondrocarpa,Larridon et al. 2010-0229,Madagascar,GENT,MG708524,Scleria_distans_var_chondrocarpa_MG708524_Madagascar,MG708765,Scleria_distans_var_chondrocarpa_MG708765_Madagascar,MG708651,Scleria_distans_var_chondrocarpa_MG708651_Madagascar
SC033,Scleria,distans_var._chondrocarpa,Larridon et al. 2010-0279,Madagascar,GENT,MG708525,Scleria_distans_var_chondrocarpa_MG708525_Madagascar,MG708766,Scleria_distans_var_chondrocarpa_MG708766_Madagascar,MG708652,Scleria_distans_var_chondrocarpa_MG708652_Madagascar
SC034,Scleria,distans_var._chondrocarpa,Larridon et al. 2010-0241,Madagascar,GENT,LN886813,Scleria_distans_var_chondrocarpa_LN886813_Madagascar,LN887042,Scleria_distans_var_chondrocarpa_LN887042_Madagascar,LN886924,Scleria_distans_var_chondrocarpa_LN886924_Madagascar
SC011,Scleria,dregeana,Hess H.&E. 52/468,Angola,GENT,,,,,MG708637,Scleria_dregeana_MG708637_Angola
SC012,Scleria,dregeana,Malaisse & Goetghebeur 1137,Democratic Republic of Congo,GENT,MG708509,Scleria_dregeana_MG708509_DRC,MG708755,Scleria_dregeana_MG708755_DRC,MG708638,Scleria_dregeana_MG708638_DRC
SC215,Scleria,dregeana,Bidgood et al. 5393,Tanzania,MO,MG708544,Scleria_dregeana_MG708544_Tanzania,MG708785,Scleria_dregeana_MG708785_Tanzania,MG708672,Scleria_dregeana_MG708672_Tanzania
SC345,Scleria,dregeana,Bauters K. 2015-007,Zambia,GENT,MG708583,Scleria_dregeana_MG708583_Zambia,MG708821,Scleria_dregeana_MG708821_Zambia,MG708709,Scleria_dregeana_MG708709_Zambia
SC362,Scleria,dregeana,Bauters K. 2015-116,Zambia,GENT,MG708591,Scleria_dregeana_MG708591_Zambia,,,MG708717,Scleria_dregeana_MG708717_Zambia
SC376,Scleria,dregeana,Bauters K. 2015-159,Zambia,GENT,MG708601,Scleria_dregeana_MG708601_Zambia,MG708833,Scleria_dregeana_MG708833_Zambia,MG708727,Scleria_dregeana_MG708727_Zambia
SC384,Scleria,dregeana,Bauters K. 2015-184,Zambia,GENT,MG708606,Scleria_dregeana_MG708606_Zambia,MG708839,Scleria_dregeana_MG708839_Zambia,MG708732,Scleria_dregeana_MG708732_Zambia
SC390,Scleria,dregeana,Bauters K. 2015-200,Zambia,GENT,MG708610,Scleria_dregeana_MG708610_Zambia,MG708843,Scleria_dregeana_MG708843_Zambia,,
SC120,Scleria,eggersiana, Piepenbring M. & al. 2728, Panama,GENT,LN886850,Scleria_eggersiana_LN886850_Panama,LN887077,Scleria_eggersiana_LN887077_Panama,LN886961,Scleria_eggersiana_LN886961_Panama
SC275,Scleria,eggersiana, Camelbeke K. & Goetghebeur P. 939, Costa Rica,GENT,LN886909,Scleria_eggersiana_LN886909_Costa_Rica,LN887139,Scleria_eggersiana_LN887139_Costa_Rica,LN887027,Scleria_eggersiana_LN887027_Costa_Rica
SC023,Scleria,erythrorrhiza,Malaisse & Goetghebeur 871,Democratic Republic of Congo,GENT,MG708517,Scleria_erythrorrhiza_MG708517_DRC,MG708760,Scleria_erythrorrhiza_MG708760_DRC,MG708647,Scleria_erythrorrhiza_MG708647_DRC
SC025,Scleria,erythrorrhiza,Hess H.&E. 52/289,Angola,GENT,LN886810,Scleria_erythrorrhiza_LN886810_Angola,LN887039,Scleria_erythrorrhiza_LN887039_Angola,LN886921,Scleria_erythrorrhiza_LN886921_Angola
SC333,Scleria,erythrorrhiza,S. Pawek 10890,Malawi,MO,MG708581,Scleria_erythrorrhiza_MG708581_Malawi,MG708818,Scleria_erythrorrhiza_MG708818_Malawi,MG708706,Scleria_erythrorrhiza_MG708706_Malawi
SC129,Scleria,flagellum-nigrorum, Moraes M. & al. 1785, Bolivia,GENT,LN886854,Scleria_flagellum_nigrorum_LN886854_Bolivia,LN887081,Scleria_flagellum_nigrorum_LN887081_Bolivia,LN886966,Scleria_flagellum_nigrorum_LN886966_Bolivia
SC216,Scleria,flagellum-nigrorum, Guill‚n R. & al. 1635, Bolivia,MO,LN886889,Scleria_flagellum_nigrorum_LN886889_Bolivia,LN887118,Scleria_flagellum_nigrorum_LN887118_Bolivia,LN887005,Scleria_flagellum_nigrorum_LN887005_Bolivia
SC016,Scleria,flexuosa,Hess H.&E. 52/142,Angola,GENT,MG708512,Scleria_flexuosa_MG708512_Angola,MG708757,Scleria_flexuosa_MG708757_Angola,MG708641,Scleria_flexuosa_MG708641_Angola
SC017,Scleria,flexuosa,Laegaard S. 16237,Zimbabwe,GENT,,,,,MG708642,Scleria_flexuosa_MG708642_Zimbabwe
SC018,Scleria,flexuosa,Hess H.&E. 52/689,Angola,GENT,MG708513,Scleria_flexuosa_MG708513_Angola,MG708758,Scleria_flexuosa_MG708758_Angola,MG708643,Scleria_flexuosa_MG708643_Angola
SC351,Scleria,flexuosa,Bauters K. 2015-057,Zambia,GENT,MG708586,Scleria_flexuosa_MG708586_Zambia,MG708824,Scleria_flexuosa_MG708824_Zambia,MG708712,Scleria_flexuosa_MG708712_Zambia
SC373,Scleria,flexuosa,Bauters K. 2015-152,Zambia,GENT,MG708600,Scleria_flexuosa_MG708600_Zambia,MG708832,Scleria_flexuosa_MG708832_Zambia,MG708726,Scleria_flexuosa_MG708726_Zambia
SC452,Scleria,flexuosa,Goetghebeur 9137,Zimbabwe,GENT,MG708630,Scleria_flexuosa_MG708630_Zimbabwe,,,MG708752,Scleria_flexuosa_MG708752_Zimbabwe
SC130,Scleria,foliosa, Malaisse F. & Goetghebeur P. 418, Democratic Republic of the Congo,GENT,LN886855,Scleria_foliosa_LN886855_DRC,LN887082,Scleria_foliosa_LN887082_DRC,LN886967,Scleria_foliosa_LN886967_DRC
SC294,Scleria,fulvipilosa,Robinson 6324,Zambia,NY,MG708558,Scleria_fulvipilosa_MG708558_Zambia,MG708797,Scleria_fulvipilosa_MG708797_Zambia,MG708686,Scleria_fulvipilosa_MG708686_Zambia
JG11,Scleria,gaertneri,Razakam 2798,Kenya,K,,,JG11,Scleria_gaertneri_JG11_Kenya,,
SC135,Scleria,gaertneri, Pott A. s.n., Brazil,GENT,LN886858,Scleria_gaertneri_LN886858_Brazil,LN887085,Scleria_gaertneri_LN887085_Brazil,LN886970,Scleria_gaertneri_LN886970_Brazil
SC271,Scleria,gaertneri, Camelbeke K. & Goetghebeur P. 903, Costa Rica,GENT,LN886908,Scleria_gaertneri_LN886908_Costa_Rica,LN887138,Scleria_gaertneri_LN887138_Costa_Rica,LN887026,Scleria_gaertneri_LN887026_Costa_Rica
ME000,Scleria,gaertneri,,Madagascar,,,,,,JG25,Scleria_gaertneri_JG25_Madagascar
SC186,Scleria,georgiana, Bauters K. & Coenen J. 2013-033, U.S.A.,GENT,,,LN887106,Scleria_georgiana_LN887106_USA,LN886991,Scleria_georgiana_LN886991_USA
SC269,Scleria,glabra,Bingham 7603,Zambia,GENT,MG708548,Scleria_glabra_MG708548_Zambia,MG708789,Scleria_glabra_MG708789_Zambia,MG708676,Scleria_glabra_MG708676_Zambia
SC303,Scleria,glabra,Robinson 5115,Zambia,MO,,,MG708802,Scleria_glabra_MG708802_Zambia,MG708692,Scleria_glabra_MG708692_Zambia
SC133,Scleria,globonux, Hess H.&E. 52/696, Angola,GENT,LN886856,Scleria_globonux_LN886856_Angola,LN887083,Scleria_globonux_LN887083_Angola,LN886968,Scleria_globonux_LN886968_Angola
SC134,Scleria,goossensii, Smith T.B. S85-52, Cameroon,GENT,LN886857,Scleria_goossensii_LN886857_Cameroon,LN887084,Scleria_goossensii_LN887084_Cameroon,LN886969,Scleria_goossensii_LN886969_Cameroon
SC075,Scleria,greigiifolia, Desfayes M. 95-3121, Madagascar,GENT,LN886829,Scleria_greigiifolia_LN886829_Madagascar,LN887057,Scleria_greigiifolia_LN887057_Madagascar,LN886940,Scleria_greigiifolia_LN886940_Madagascar
JG26,Scleria,hildebrandtii,Perrier de la Bathie 17252,Madagascar,K,JG26,Scleria_hildebrandtii_JG26_Madagascar,,,,
SC137,Scleria,hildebrandtii, Zwaenepoel A. 508, Kenya,GENT,LN886859,Scleria_hildebrandtii_LN886859_Kenya,LN887086,Scleria_hildebrandtii_LN887086_Kenya,LN886971,Scleria_hildebrandtii_LN886971_Kenya
SC032,Scleria,hilsenbergii,Larridon et al. 2010-0138,Madagascar,GENT,LN886812,Scleria_hilsenbergii_LN886812_Madagascar,LN887041,Scleria_hilsenbergii_LN887041_Madagascar,LN886923,Scleria_hilsenbergii_LN886923_Madagascar
SC298,Scleria,hilsenbergii,Dhondt 7,Madagascar,GENT,MG708561,Scleria_hilsenbergii_MG708561_Madagascar,,,MG708689,Scleria_hilsenbergii_MG708689_Madagascar
SC445,Scleria,hirtella,Piepenbring 2625,Guyana,GENT,MG708623,Scleria_hirtella_MG708623_Guyana,MG708856,Scleria_hirtella_MG708856_Guyana,MG708747,Scleria_hirtella_MG708747_Guyana
SC455,Scleria,hispidior,Gilbert 927,Ethiopia,L,MG708633,Scleria_hispidior_MG708633_Ethiopia,MG708865,Scleria_hispidior_MG708865_Ethiopia,,
SC270,Scleria,hispidula,Ash J.W. 2126,Ethiopia,MO,MG708549,Scleria_hispidula_MG708549_Ethiopia,MG708790,Scleria_hispidula_MG708790_Ethiopia,MG708677,Scleria_hispidula_MG708677_Ethiopia
SC439,Scleria,hispidula,Robinson 6535,Zambia,GENT,MG708617,Scleria_hispidula_MG708617_Zambia,MG708850,Scleria_hispidula_MG708850_Zambia,MG708741,Scleria_hispidula_MG708741_Zambia
SC440,Scleria,hispidula,Robinson 6454,Zambia,GENT,MG708618,Scleria_hispidula_MG708618_Zambia,MG708851,Scleria_hispidula_MG708851_Zambia,MG708742,Scleria_hispidula_MG708742_Zambia
SC318,Scleria,interrupta,Jansen-Jacobs M.J. s.n. ?,Guyana,GENT,MG708573,Scleria_interrupta_MG708573_Guyana,MG708811,Scleria_interrupta_MG708811_Guyana,MG708701,Scleria_interrupta_MG708701_Guyana
SC140,Scleria,iostephana, Hess H. & E. 52/1229, Angola,GENT,LN886860,Scleria_iostephana_LN886860_Angola,LN887087,Scleria_iostephana_LN887087_Angola,LN886972,Scleria_iostephana_LN886972_Angola
SC102,Scleria,kerrii, Bart De Wilde & al. 02-325, Thailand,TCD,LN886840,Scleria_kerrii_LN886840_Thailand,LN887067,Scleria_kerrii_LN887067_Thailand,LN886951,Scleria_kerrii_LN886951_Thailand
SC004,Scleria,lacustris, Guareco I. 409, Bolivia,GENT,LN886806,Scleria_lacustris_LN886806_Bolivia,LN887035,Scleria_lacustris_LN887035_Bolivia,LN886917,Scleria_lacustris_LN886917_Bolivia
SC276,Scleria,lacustris, Jacono C.C. 344, U.S.A.,GENT,LN886910,Scleria_lacustris_LN886910_USA,LN887140,Scleria_lacustris_LN887140_USA,LN887028,Scleria_lacustris_LN887028_USA
JG02,Scleria,lagoensis,Hunt 6069,Brazil,K,JG02,Scleria_lagoensis_JG02_Brazil,JG02,Scleria_lagoensis_JG02_Brazil,,
SC224,Scleria,lagoensis, Gereau R.E. & al. 4306, Tanzania,MO,LN886890,Scleria_lagoensis_LN886890_Tanzania,LN887119,Scleria_lagoensis_LN887119_Tanzania,LN887006,Scleria_lagoensis_LN887006_Tanzania
SC141,Scleria,latifolia, Camelbeke K. & Goetghebeur P. 913, Costa Rica,GENT,LN886861,Scleria_latifolia_LN886861_Costa_Rica,LN887088,Scleria_latifolia_LN887088_Costa_Rica,LN886973,Scleria_latifolia_LN886973_Costa_Rica
SC142,Scleria,laxa, Wilson K.L. 7338, Australia,GENT,LN886862,Scleria_laxa_LN886862_Australia,LN887089,Scleria_laxa_LN887089_Australia,LN886974,Scleria_laxa_LN886974_Australia
SC446,Scleria,laxiflora,Bidgood et al. 842,Tanzania,MO,MG708624,Scleria_laxiflora_MG708624_Tanzania,MG708857,Scleria_laxiflora_MG708857_Tanzania,MG708748,Scleria_laxiflora_MG708748_Tanzania
SC296,Scleria,leptostachya,Irwin et al. 11690,Brazil,GENT,MG708559,Scleria_leptostachya_MG708559_Brazil,MG708798,Scleria_leptostachya_MG708798_Brazil,MG708687,Scleria_leptostachya_MG708687_Brazil
SC297,Scleria,leptostachya,Irwin 25930,Brazil,GENT,MG708560,Scleria_leptostachya_MG708560_Brazil,MG708799,Scleria_leptostachya_MG708799_Brazil,MG708688,Scleria_leptostachya_MG708688_Brazil
SC436,Scleria,liberica,Adam 29622,Liberia,MO,MG708615,Scleria_liberica_MG708615_Liberia,MG708847,Scleria_liberica_MG708847_Liberia,MG708738,Scleria_liberica_MG708738_Liberia
JG10,Scleria,lithosperma,LN1526,Madagascar,K,JG10,Scleria_lithosperma_JG10_Madagascar,,,JG10,Scleria_lithosperma_JG10_Madagascar
SC001,Scleria,lithosperma,Viane R. 2241,Thailand,GENT,,,,,,
SC002,Scleria,lithosperma,Viane R. 824,Ivory Coast,GENT,,,,,,
SC003,Scleria,lithosperm,Stevens W.D. & Martinez S. 25260,Guatemala,GENT,,,MG708754,Scleria_lithosperma_MG708754_Guatemala,MG708634,Scleria_lithosperma_MG708634_Guatemala
SC182,Scleria,lithosperma,Bauters K. & Coenen J. 2013-019,USA,GENT,,,LN887105,Scleria_lithosperma_LN887105_USA,LN886990,Scleria_lithosperma_LN886990_USA
SC183,Scleria,lithosperma,Bauters K. & Coenen J. 2013-026,USA,GENT,,,MG708782,Scleria_lithosperma_MG708782_USA,MG708669,Scleria_lithosperma_MG708669_USA
SC184,Scleria,lithosperma,Bauters K. & Coenen J. 2013-027,USA,GENT,,,MG708783,Scleria_lithosperma_MG708783_USA,MG708670,Scleria_lithosperma_MG708670_USA
SC255,Scleria,lithosperma,Bauters K. & Coenen J. xxx,USA,GENT,,,,,,
SC323,Scleria,lithosperma,Bauters K. & Coenen J. 2013-024,USA,GENT,,,,,,
SC144,Scleria,longispiculata,Hess H.&E. 52/437,Angola,GENT,MG708539,Scleria_longispiculata_MG708539_Angola,MG708778,Scleria_longispiculata_MG708778_Angola,MG708664,Scleria_longispiculata_MG708664_Angola
SC321,Scleria,longispiculata,Hess H.&E. 52/580,Angola,GENT,MG708575,Scleria_longispiculata_MG708575_Angola,MG708813,Scleria_longispiculata_MG708813_Angola,MG708702,Scleria_longispiculata_MG708702_Angola
SC110,Scleria,mackaviensis, Wilson K.L. 9871, Australia,NE,LN886847,Scleria_mackaviensis_LN886847_Australia,LN887074,Scleria_mackaviensis_LN887074_Australia,LN886958,Scleria_mackaviensis_LN886958_Australia
SC260,Scleria,mackaviensis, Waterway M. 2012-027, Australia,NE,,,LN887133,Scleria_mackaviensis_LN887133_Australia,LN887021,Scleria_mackaviensis_LN887021_Australia
SC104,Scleria,macrogyne, Bart De Wilde 26, Guiana,TCD,LN886841,Scleria_macrogyne_LN886841_Guyana,LN887068,Scleria_macrogyne_LN887068_Guyana,LN886952,Scleria_macrogyne_LN886952_Guyana
SC145,Scleria,macrophylla," Laegaard, S. 101080", Equador,GENT,LN886863,Scleria_macrophylla_LN886863_Ecuador,LN887090,Scleria_macrophylla_LN887090_Equador,LN886975,Scleria_macrophylla_LN886975_Equador
JG23,Scleria,madagascariensis,Rokotozafy 2741,Madagascar,K,JG23,Scleria_madagascariensis_JG23_Madagascar,JG23,Scleria_madagascariensis_JG23_Madagascar,JG23,Scleria_madagascariensis_JG23_Madagascar
SC451,Scleria,maypurensis,Gr”ger A. 1103,Venezuela,GENT,MG708629,Scleria_maypurensis_MG708629_Venezuela,MG708862,Scleria_maypurensis_MG708862_Venezuela,,
JG17,Scleria,melanomphala,L.2010-0336B,Madagascar,G,,,JG17,Scleria_melanomphala_JG17_Madagascar,,
SC112,Scleria,melanomphala, Muasya M.A. 96/167, Tanzania,GENT,LN886848,Scleria_melanomphala_LN886848_Tanzania,LN887075,Scleria_melanomphala_LN887075_Tanzania,LN886959,Scleria_melanomphala_LN886959_Tanzania
SC027,Scleria,melanotricha,Porembski S. 2401,Benin,GENT,MG708520,Scleria_melanotricha_MG708520_Benin,MG708762,Scleria_melanotricha_MG708762_Benin,,
SC286,Scleria,melanotricha,Porembski 2549,Benin,GENT,MG708551,Scleria_melanotricha_MG708551_Benin,,,MG708679,Scleria_melanotricha_MG708679_Benin
SC310,Scleria,melanotricha,Porembski 575,Ivory Coast,GENT,,,,,,
SC449,Scleria,melanotricha,Porembski 362,Ivory Coast,GENT,MG708627,Scleria_melanotricha_MG708627_Ivory_Coast,MG708860,Scleria_melanotricha_MG708860_Ivory_Coast,MG708751,Scleria_melanotricha_MG708751_Ivory_Coast
SC076,Scleria,microcarpa, Desfayes M. 970117-21, Paraguay,GENT,LN886830,Scleria_microcarpa_LN886830_Paraguay,LN887058,Scleria_microcarpa_LN887058_Paraguay,LN886941,Scleria_microcarpa_LN886941_Paraguay
SC107,Scleria,microcarpa, Bart De Wilde 19, Guiana,TCD,LN886844,Scleria_microcarpa_LN886844_Guyana,LN887071,Scleria_microcarpa_LN887071_Guyana,LN886955,Scleria_microcarpa_LN886955_Guyana
SC148,Scleria,mitis, Thomas W.W. & al. 11399, Brazil,GENT,LN886865,Scleria_mitis_LN886865_Brazil,LN887092,Scleria_mitis_LN887092_Brazil,LN886977,Scleria_mitis_LN886977_Brazil
SC029,Scleria,mongomoensis,Porembski S. 3609,Equatorial Guinea,GENT,MG708522,Scleria_mongomoensis_MG708522_Equatorial_Guinea,,,,
